0  14  2.53320e+06  0.00000e+00  1.39508e+02 -1.00000e+04  0.00000e+00 -9.31017e+03
158   9  5.68671e+01  0.00000e+00 -4.38169e+03 -4.39990e+03  1.23426e+03  4.73672e+09
159  13  1.27291e+02  0.00000e+00 -4.38242e+03 -4.40572e+03  1.23433e+03  4.76670e+09
160  11  9.13234e+01  0.00000e+00 -4.38291e+03 -4.39628e+03  1.24590e+03  4.79668e+09
161  12  7.82381e+01  0.00000e+00 -4.38241e+03 -4.39923e+03  1.23425e+03  4.82666e+09
162  15  1.44214e+02  0.00000e+00 -4.38361e+03 -4.40256e+03  1.23432e+03  4.85664e+09
163  12  4.68125e+01  0.00000e+00 -4.38417e+03 -4.39895e+03  1.23426e+03  4.88662e+09
164  11  6.75786e+01  0.00000e+00 -4.38319e+03 -4.39850e+03  1.23425e+03  4.91660e+09
165  10  7.83781e+01  0.00000e+00 -4.38555e+03 -4.40015e+03  1.23678e+03  4.94657e+09
166  10  2.86805e+01  0.00000e+00 -4.38310e+03 -4.38408e+03  1.24075e+03  4.97655e+09
167  12  1.03796e+02  0.00000e+00 -4.38351e+03 -4.39984e+03  1.23431e+03  5.00653e+09
168  12  3.74095e+01  0.00000e+00 -4.38458e+03 -4.39874e+03  1.23427e+03  5.03651e+09
169   8  5.32666e+01  0.00000e+00 -4.38431e+03 -4.39744e+03  1.23430e+03  5.06649e+09
170  11  5.69791e+01  0.00000e+00 -4.38369e+03 -4.39796e+03  1.23428e+03  5.09647e+09
171   9  8.39085e+01  0.00000e+00 -4.38306e+03 -4.39842e+03  1.25143e+03  5.12645e+09
172  11  4.77374e+01  0.00000e+00 -4.38539e+03 -4.39786e+03  1.23428e+03  5.15643e+09
173  10  1.01727e+02  0.00000e+00 -4.38353e+03 -4.39998e+03  1.23428e+03  5.18641e+09
174  11  3.69813e+01  0.00000e+00 -4.38583e+03 -4.39956e+03  1.23432e+03  5.21639e+09
175  12  9.68291e+01  0.00000e+00 -4.38347e+03 -4.39916e+03  1.23432e+03  5.24637e+09
176   8  2.76064e+01  0.00000e+00 -4.38516e+03 -4.39620e+03  1.11212e+03  5.27635e+09
177  10  3.75755e+01  0.00000e+00 -4.38350e+03 -4.39882e+03  1.23431e+03  5.30633e+09
178  10  6.56260e+01  0.00000e+00 -4.38289e+03 -4.39957e+03  1.23429e+03  5.33630e+09
179  13  1.21324e+02  0.00000e+00 -4.38344e+03 -4.40058e+03  1.23432e+03  5.36628e+09
180  10  4.32129e+01  0.00000e+00 -4.38403e+03 -4.39869e+03  1.23432e+03  5.39626e+09
181  11  8.40419e+01  0.00000e+00 -4.38312e+03 -4.39841e+03  1.23430e+03  5.42624e+09
182   9  3.09184e+01  0.00000e+00 -4.38687e+03 -4.39676e+03  1.23430e+03  5.45622e+09
183  12  7.43464e+01  0.00000e+00 -4.38419e+03 -4.40156e+03  1.23436e+03  5.48620e+09
184  13  9.43170e+01  0.00000e+00 -4.38375e+03 -4.40091e+03  1.23434e+03  5.51618e+09
185  10  7.66705e+01  0.00000e+00 -4.38379e+03 -4.39823e+03  1.23432e+03  5.54616e+09
186  11  6.72976e+01  0.00000e+00 -4.38349e+03 -4.39906e+03  1.23430e+03  5.57614e+09
187  12  9.54179e+01  0.00000e+00 -4.38265e+03 -4.39276e+03  1.24167e+03  5.60612e+09
188  11  5.54661e+01  0.00000e+00 -4.38353e+03 -4.39859e+03  1.23430e+03  5.63610e+09
189  11  7.60544e+01  0.00000e+00 -4.38416e+03 -4.40105e+03  1.23436e+03  5.66608e+09
190  11  7.73498e+01  0.00000e+00 -4.38229e+03 -4.39187e+03  1.25362e+03  5.69606e+09
191  12  7.72891e+01  0.00000e+00 -4.38477e+03 -4.39940e+03  1.23433e+03  5.72603e+09
192  13  9.37977e+01  0.00000e+00 -4.38409e+03 -4.39945e+03  1.23430e+03  5.75601e+09
193  12  1.14497e+02  0.00000e+00 -4.38512e+03 -4.39985e+03  1.23429e+03  5.78599e+09
194   9  4.30818e+01  0.00000e+00 -4.38205e+03 -4.38606e+03  1.28935e+03  5.81597e+09
195  10  3.09100e+01  0.00000e+00 -4.38435e+03 -4.37526e+03  1.25230e+03  5.84595e+09
196  11  8.73454e+01  0.00000e+00 -4.38402e+03 -4.39739e+03  1.23430e+03  5.87593e+09
197  11  8.97676e+01  0.00000e+00 -4.38421e+03 -4.39729e+03  1.23431e+03  5.90591e+09
198  11  8.05512e+01  0.00000e+00 -4.38340e+03 -4.40090e+03  1.23431e+03  5.93589e+09
199  12  5.48427e+01  0.00000e+00 -4.38541e+03 -4.39715e+03  1.23431e+03  5.96587e+09
200  11  3.28275e+01  0.00000e+00 -4.38405e+03 -4.38606e+03  1.25975e+03  5.99585e+09
201   9  3.79857e+01  0.00000e+00 -4.38264e+03 -4.39120e+03  1.27319e+03  6.02583e+09
202   7  4.78998e+01  0.00000e+00 -4.38605e+03 -4.39681e+03  1.23436e+03  6.05581e+09
203  11  7.83671e+01  0.00000e+00 -4.38411e+03 -4.39861e+03  1.23432e+03  6.08579e+09
204  10  7.08431e+01  0.00000e+00 -4.38570e+03 -4.39904e+03  1.23434e+03  6.11577e+09
205  11  1.23217e+02  0.00000e+00 -4.38463e+03 -4.39740e+03  1.23436e+03  6.14574e+09
206  11  7.96413e+01  0.00000e+00 -4.38395e+03 -4.39788e+03  1.23434e+03  6.17572e+09
207   9  2.49555e+01  0.00000e+00 -4.38084e+03 -4.38769e+03  1.28924e+03  6.20570e+09
208  10  2.64381e+01  0.00000e+00 -4.38088e+03 -4.39072e+03  1.28350e+03  6.23568e+09
